questionID,category,sets,question,A,B,C,D,AnswerKey
NYSEDREGENTS_2011_8_20,Train,easy,Which sequence represents the order of development for many plants? , seed develops inside fruit -> seed is dispersed -> seed germinates -> plant grows , seed is dispersed -> seed develops inside fruit -> seed germinates -> plant grows , seed germinates -> plant grows -> seed is dispersed -> seed develops inside fruit , seed is dispersed -> plant grows -> seed germinates -> seed develops inside fruit,A
NYSEDREGENTS_2005_8_9,Train,easy,Which equipment will best separate a mixture of iron filings and black pepper? , magnet , filter paper , triple-beam balance , voltmeter,A
NYSEDREGENTS_2007_8_12,Train,easy,"In animal skin tissue, cell division is responsible for ", growth and repair , sexual reproduction , obtaining energy , production of sex cells,A
NYSEDREGENTS_2004_8_1,Train,easy,The items listed below were found in a science classroom. * a heart made of plastic with many of its parts labeled * clay formed to look like Earth and other planets * a giant plastic plant cell with removable cell parts These items are all examples of , models , experiments , variables , controls,A
NYSEDREGENTS_2005_8_12,Train,easy,"Hydrochloric acid is added to a beaker containing a piece of zinc. As a result, zinc chloride is formed and hydrogen gas is released. This is an example of ", a chemical reaction , a physical change , photosynthesis , evaporation,A
NYSEDREGENTS_2009_8_21,Train,easy,All plants and animals have mechanisms that , transport nutrients , perform photosynthesis , regulate nerves , produce flowers,A
NYSEDREGENTS_2007_8_25,Train,easy,The Moon is visible to observers on Earth because of , reflected sunlight , absorbed light from Earth's atmosphere , gases in the Moon's interior , volcanic eruptions on the Moon's surface,A
NYSEDREGENTS_2009_8_22,Train,easy,What is the major function of the human excretory system? , eliminate waste materials , respond to stimuli , break down food mechanically , absorb nutrients from food,A
NYSEDREGENTS_2011_8_12,Train,easy,Naturally occurring variations within a species are mainly the result of mutations and , sexual reproduction , dynamic equilibrium , metabolism , camouflage,A
NYSEDREGENTS_2009_8_9,Train,easy,Which energy source is considered nonrenewable? , oil , moving water , sunlight , biomass,A
NYSEDREGENTS_2009_8_2,Train,easy,The longitude of a location determines which time zone it is in. Different time zones are the result of , Earth's rotation , Earth's revolution , the Moon's rotation , the Moon's revolution,A
NYSEDREGENTS_2005_8_30,Train,easy,Which three systems of the human body function together to move and control body parts? ," nervous, skeletal, and muscular "," muscular, endocrine, and excretory "," digestive, excretory, and reproductive "," circulatory, endocrine, and respiratory",A
NYSEDREGENTS_2009_8_28,Train,easy,"In humans, a trait can be determined by one pair or many pairs of ", genes , microbes , cells , organs,A
NYSEDREGENTS_2007_8_2,Train,easy,Which sequence correctly shows the levels of organization for structure and function in a human? , cell -> tissue -> organ -> organ system , organ system -> cell -> tissue -> organ , tissue -> organ -> organ system -> cell , cell -> organ -> tissue -> organ system,A
NYSEDREGENTS_2011_8_28,Train,easy,Which force keeps the planets in their orbits around the Sun? , gravity , magnetism , electricity , friction,A
NYSEDREGENTS_2005_8_36,Train,easy,Some kinds of fish live most of their lives in salt water but lay their eggs in freshwater. Their ability to survive in different environments is an example of , adaptation , developmental stages , a habit , selective breeding,A
NYSEDREGENTS_2004_8_13,Train,easy,A change in the environment that causes a response is known as a , stimulus , habit , reflex , source,A
NYSEDREGENTS_2007_8_5,Train,easy,Asexually produced offspring are genetically , identical to the parent , different from the parent , different from each other , formed by two parents,A
NYSEDREGENTS_2011_8_22,Train,easy,A cat jumps when startled by a loud noise. This is an example of an organism , sensing and responding to its external environment , sensing and responding to its internal environment , changing and controlling its external environment , changing and controlling its internal environment,A
NYSEDREGENTS_2009_8_11,Train,easy,The gravitational force between two objects depends on the distance between the objects and each object's , mass , volume , pressure , temperature,A
NYSEDREGENTS_2006_8_25,Train,easy,"In the past, Native American Indians buried dead fish along with corn seeds. This technique was used because the decomposing dead fish would ", provide nutrients for the growing corn plant , eliminate the need for weeding around the corn plant , release oxygen for use by the corn plant , supply all the water needed by the corn plant,A
NYSEDREGENTS_2007_8_3,Train,easy,"Feathers, wings, and the hollow bones of birds are examples of ", adaptations for flight , responses to stimuli , unnecessary body parts , reproductive structures,A
NYSEDREGENTS_2011_8_25,Train,easy,Organisms that consume wastes to obtain the nutrients they need to survive are classified as , decomposers , herbivores , predators , producers,A
NYSEDREGENTS_2014_8_10,Dev,easy,A green plant absorbs light. A frog eats flies. These are both examples of how organisms , obtain energy , escape predators , produce offspring , excrete waste,A
NYSEDREGENTS_2014_8_24,Dev,easy,Which type of air mass forms over the ocean near the equator? , moist and warm , moist and cool , dry and warm , dry and cool,A
NYSEDREGENTS_2014_8_3,Dev,easy,Which type of relationship exists when a certain type of tree's roots need a fungus present in order to grow normally? , beneficial , competitive , harmful , infectious,A
NYSEDREGENTS_2014_8_19,Dev,easy,A single human body cell typically contains thousands of , genes , nuclei , chloroplasts , bacteria,A
NYSEDREGENTS_2014_8_7,Dev,easy,Specialized cells protect the human body from disease-causing microbes by , producing chemicals that destroy the microbes , dissolving wastes from the microbes , creating recessive genes in the microbes , supplying oxygen and nutrients to the microbes,A
NYSEDREGENTS_2014_8_18,Dev,easy,Which process in an apple tree primarily results from cell division? , growth , photosynthesis , gas exchange , waste removal,A
NYSEDREGENTS_2008_8_32,Test,chal,A sudden change in the weather at a certain location is most likely caused by , the arrival of an air mass , a severe earthquake , a high ocean tide , an eclipse of the Moon,A
NYSEDREGENTS_2008_8_17,Test,chal,What advantage does a species that reproduces sexually have over a species that reproduces asexually? , There is greater variation among the offspring. , The offspring are identical to the parents. , Only one parent is necessary for reproduction. , No sex cells are needed for reproduction.,A
NYSEDREGENTS_2013_8_34,Test,chal,Scientists have discovered fossils of the same organisms in many different parts of the world. These fossils provide evidence that , the continents were once joined together , most life-forms that existed in the past are still present today , most of Earth's surface was once covered by molten rock , rocks have been transformed from one type to another,A
NYSEDREGENTS_2005_8_44,Train,chal,Populations living in one place form a , community , system , habitat , species,A
NYSEDREGENTS_2007_8_31,Train,chal,During which phase change is heat energy absorbed by a substance? , liquid to gas , gas to solid , liquid to solid , gas to liquid,A
NYSEDREGENTS_2011_8_13,Train,chal,"Animals may fight, make threatening sounds, and act aggressively toward members of the same species. These behaviors usually occur as the result of ", competition , conservation , decomposition , pollution,A
NYSEDREGENTS_2006_8_39,Train,chal,What is the result of cellular respiration? , Energy for cell processes is released. , Oxygen is released for photosynthesis. , Cells undergo decomposition. , Nutrients are excreted to prevent the buildup of body fat.,A
NYSEDREGENTS_2009_8_4,Train,chal,"Which weather event usually includes heavy precipitation, strong winds, and surface air temperatures below 0°C? ", blizzard , hurricane , thunderstorm , tornado,A
NYSEDREGENTS_2005_8_28,Train,chal,The main function of the human digestive system is to , break down foods for absorption into the blood , exchange oxygen and carbon dioxide in the lungs , release energy from sugars within the cells , carry nutrients to all parts of the body,A
NYSEDREGENTS_2014_8_38,Dev,chal,A substance in the solid phase (state) of matter has , a definite shape and a definite volume ," a definite shape, but no definite volume "," no definite shape, but a definite volume ", no definite shape and no definite volume,A
NYSEDREGENTS_2014_8_12,Dev,chal,A main function of a plant's seed is to , store food to be used during early development , attract pollen to be used during development , take in light energy to be used during photosynthesis , produce chlorophyll to be used during photosynthesis,A
Mercury_417466,Test,easy,Which statement best explains why photosynthesis is the foundation of most food webs? , Sunlight is the source of energy for nearly all ecosystems. , Most ecosystems are found on land instead of in water. , Carbon dioxide is more available than other gases. , The producers in all ecosystems are plants.,A
Mercury_182158,Test,easy,A student has just completed a laboratory activity. What is the last action that the student should perform before leaving the lab area? , wash hands , turn off all equipment , put away all glassware , wash instruments and table tops,A
Mercury_SC_413631,Test,easy,Which of these correctly identifies the way materials are transported in a plant? , Xylem carries water from the roots to the leaves. , Phloem carries minerals from the roots to the leaves. , Xylem carries sugars from the flowers to the stems. , Phloem carries water from the flowers to the stems.,A
Mercury_SC_LBS10680,Test,easy,What allows a light bulb to give off light? , the current flowing through the wire to the light bulb , the light bulb giving electrical energy to the battery , the light bulb generating heat energy , the battery pushing light through the wire,A
VASoL_2010_5_18,Test,easy,Photosynthesis occurs in which of these organisms? , Sunflower plant , Mushroom , Sunfish , Luna moth,A
Mercury_SC_408762,Test,easy,Marshall learned that plants need a substance from the air to make their own food. What does a plant take from the air in the presence of sunlight? , carbon dioxide , hydrogen , nitrogen , oxygen,A
ACTAAP_2015_5_8,Test,easy,Antarctica is a continent at Earth's south pole. Fossils of tropical fern plants were discovered in Antarctica even though these plants do not grow there today. Which conclusion does the fossil evidence best support? ," Millions of years ago, Antarctica was in a warmer location on Earth. "," Recently, a natural disaster killed all of the fern plants in Antarctica. "," Recently, birds stopped carrying the seeds of fern plants to Antarctica. "," Millions of years ago, Earth's south pole was much colder than it is today.",A
MCAS_2000_4_29,Test,easy,"When white, fluffy clouds appear in Massachusetts, the weather that day will MOST LIKELY be ", fair. , stormy. , foggy. , rainy.,A
Mercury_7032865,Test,easy,Which scientist is credited with discovering the first four moons of Jupiter? , Galileo Galilei , Albert Einstein , Charles Darwin , Sir Isaac Newton,A
Mercury_7057593,Test,easy,"When the Northern Hemisphere is tilted away from the Sun causing the rays of light to hit Earth at large angles, which season occurs? ", winter , spring , summer , fall,A
VASoL_2007_5_38,Test,easy,A student sees many plants around a pond. The student can determine which plants are nonvascular by ," observing if they lack true stems, roots, or leaves ", examining the plants for spores , counting the number of leaves on each stalk , noticing if the plants are near rocks,A
Mercury_7017010,Test,easy,Which tools are needed to measure the effects of friction on a block of wood? ," meter stick, spring scale "," balance, stopwatch "," balance, meter stick "," meter stick, stopwatch",A
VASoL_2009_5_3,Test,easy,The Apollo 11 mission was able to retrieve samples of the Moon's surface because it was the first mission to have astronauts , land on the Moon , orbit a planet , return to Earth , walk in space,A
Mercury_7168350,Test,easy,Cells need nutrients for energy. Which system is responsible for breaking down food to provide cellular energy? , digestive , excretory , circulatory , respiratory,A
Mercury_177223,Test,easy,"In a classroom demonstration, a teacher pours sulfuric acid on some granulated sugar in a beaker. The sugar turns yellow and then black. Smoke rises and a strong smell is released. This demonstration is an example of what kind of change? ", chemical , physical , magnetic , electric,A
Mercury_7200533,Test,easy,Marta studied different forms of energy. Which two types of energy travel in waves? , light and sound , electrical and sound , chemical and light , chemical and electrical,A
Mercury_7205590,Test,easy,Solar radiation provides more heat near the equator than near the poles on Earth. The greatest amount of heat is moved away from the equator by , ocean currents. , aquatic plants. , surface winds. , tectonic plates.,A
NYSEDREGENTS_2012_4_17,Test,easy,Which characteristic helps some animals defend themselves against predators? , strong odor , poor hearing , weak eyesight , shivering,A
Mercury_SC_407370,Test,easy,Earth orbiting the Sun causes , the changing of the seasons. , daily tidal cycles. , day to become night. , the phases of the Moon.,A
Mercury_7041335,Test,easy,Which of these traits is most influenced by environment? , weight , hair color , blood type , handedness,A
LEAP__5_10308,Test,easy,DNA technology has improved greatly in the last twenty years. Which task has been made easier by the development of DNA technology? , identifying genetic disorders , determining the parts of an atom , observing distant objects in space , making very accurate measurements,A
Mercury_SC_401308,Test,easy,Which event helps to renew a resource? , A seed is planted from a tree. , An offshore rig pumps oil. , A car is filled with gasoline. , An office is heated with coal.,A
NYSEDREGENTS_2008_4_18,Test,easy,Which part of a plant takes in water and nutrients from the soil? , root , stem , flower , leaf,A
Mercury_7165550,Test,easy,A certain type of hybrid car utilizes a braking system in which energy is recovered and stored in batteries. This is an example of which type of energy conversion? , kinetic energy converted to potential energy , chemical energy converted to kinetic energy , chemical energy converted to thermal energy , thermal energy converted to potential energy,A
Mercury_7092190,Test,easy,Through which activity do animals get the carbon that is needed for their bodies? , eating , breathing , running , sleeping,A
Mercury_7113890,Test,easy,Scientists have discovered organisms that thrive in hot water that is 90°C (194°F) and do not need sunlight or oxygen to live. Into which kingdom would the scientists classify these organisms? , Archaebacteria , Fungi , Plantae , Protista,A
Mercury_7094675,Test,easy,A beach is formed when sediment is deposited along a shoreline. What would most likely happen if rivers that empty into the ocean were dammed? , Less sediment would be deposited along the shoreline. , Beaches would form from different materials. , Sand dunes would become smaller. , Deltas would become larger.,A
Mercury_403912,Test,easy,"Due to extreme pressure, the inner core of Earth is ", solid. , liquid. , gas. , plasma.,A
Mercury_7009853,Test,easy,The speed and general direction of motion of a galaxy relative to the Earth can be determined by , measuring its red shift. , the gravity it exerts. , contrasting it against nearby stars. , observing its motion across the sky.,A
NCEOGA_2013_8_6,Test,easy,Which is an example of a renewable energy resource? , biomass , coal , gas , oil,A
MSA_2012_5_28,Test,easy,Scientists found evidence of a fish that lived millions of years ago. The fish had features that were possibly used to move on land. This fish is now extinct. What scientific evidence did the scientists most likely find that confirmed the existence of this fish? , a fossil , a description , a photograph , a cave drawing,A
Mercury_SC_406724,Test,easy,A student is investigating in which type of soil a plant will grow best. Which should the student measure to answer the question? , height of the plants , weight of the soil , amount of water used , temperature of the room,A
Mercury_SC_LBS10946,Test,easy,"When both a dominant and recessive gene are present, which of the following is true? ", The dominant trait will be visible. , The recessive trait will be visible. , Neither trait will be visible. , It cannot be predicted which trait will be visible.,A
MCAS_2012_8_23645,Test,easy,Leather basketballs are made for indoor use on smooth surfaces. Rubber basketballs are made for use on many different surfaces. Which of the following properties of rubber makes it better than leather for use on many different surfaces? , Rubber is durable. , Rubber is lightweight. , Rubber is dark in color. , Rubber is quickly produced.,A
MSA_2012_8_29,Test,easy,"Ethanol is a type of alcohol made from plants. Sugarcane and corn, which are both used in foods such as cereals and breads, are used to make ethanol. Burning ethanol provides a clean source of energy because the products of ethanol are water and carbon dioxide. Therefore, mixing ethanol with gasoline reduces harmful waste products. In the 1970s, many Brazilians drove cars with engines that used an ethanol gasoline mixture. This alternative fuel conserved the limited supply of gasoline available at that time. In the 1990s, gasoline became cheaper than ethanol, and Brazilians returned to driving more gasoline-fueled cars. Recently, Brazilians started driving more cars that use an ethanol-gasoline mixture. Ethanol is a good alternative fuel because it ", reduces air pollution , increases biodiversity , reduces sound pollution , increases ozone emissions,A
ACTAAP_2008_7_13,Test,easy,"According to Newton's first law of motion, what counteracts gravity to keep a satellite in orbit? ", inertia , energy , friction , magnetism,A
Mercury_SC_416096,Test,easy,How do plants get water and minerals? , absorbed from the soil though the roots , absorbed from the soil through the stem , absorbed from the air through the flowers , absorbed from the air through the leaves,A
Mercury_SC_401166,Test,easy,Which object works best when reflecting light? , mirror , camera , binoculars , eyeglasses,A
MSA_2013_5_5,Test,easy,"Pollutants, such as motor oil and gasoline, are sometimes leaked onto roads by vehicles. How do these pollutants most likely affect the environment? ", Storms wash the pollutants into lakes and rivers. , Animals become sick from licking the pollutants on the road. , Animals get stuck in the pollutants when they cross the road. , Winds blow the pollutants to the side of the road and harm the soil.,A
Mercury_SC_401624,Test,easy,The egg stage in the life cycle of a bird is most like which phase in the life cycle of certain types of flowers? , seed , spore , pollen , immature flower,A
NCEOGA_2013_8_32,Test,easy,Which is the best way to help prevent the flu from becoming a pandemic? , getting a vaccination , taking antibiotics , eating fruits and vegetables , washing hands often,A
Mercury_7008208,Test,easy,Which theory states that the universe originated as a single mass? , Big Bang , Steady State , Astronomical , Catastrophism,A
Mercury_7180618,Test,easy,"Lions tend to prey on primary consumers like zebras and gazelles. If there were a sudden decline in a population of lions, which ecological imbalance would most likely occur in the habitat? ", overgrazing , eutrophication , invasion by non-native species , overproduction of greenhouse gases,A
Mercury_7015663,Test,easy,"What is the name of the process in which igneous, sedimentary, and metamorphic rocks are converted into one another in stages? ", rock cycle , erosion cycle , magma cycle , tectonic cycle,A
Mercury_SC_LBS10174,Test,easy,What is happening when rocks are broken down by both physical and chemical changes? , weathering , deposition , condensation , decomposing,A
Mercury_7239890,Test,easy,The biological selection of a particular allele for a trait to be passed to offspring has nothing do with the selection of the allele for another trait. Which of the following supports this statement?  , law of independent assortment , law of dominance , law of segregation , law of recessiveness,A
Mercury_184328,Test,easy,What information about stars can be learned by using a spectrometer? , chemical composition , distance from Earth , size , speed,A
ACTAAP_2007_7_22,Test,easy,Which is the function of the gallbladder? , store bile , produce bile , store digestive enzymes , produce digestive enzymes,A
ACTAAP_2013_7_13,Test,easy,Xylem cells have very thick walls. They make up most of a tree trunk and its branches. What system in vertebrates provides the same function as the xylem cells in a tree? , the skeletal system , the endocrine system , the respiratory system , the integumentary system,A
Mercury_7068705,Test,easy,Some plants need to be in an environment where water drains easily. Which type of soil content will best benefit these plants? , sand , shale , clay , silt,A
MCAS_2011_5_17668,Test,easy,Which of the following statements best describes sandy soils? , Sandy soils allow water to drain quickly. , Sandy soils easily break down into clay sediments. , Sandy soils hold plant roots tightly in place to prevent erosion. , Sandy soils have high levels of decomposed plant and animal matter.,A
Mercury_SC_400601,Test,easy,Which source produces light from nuclear energy? , the Sun , a stove burner , the Moon , a light bulb,A
Mercury_SC_402238,Test,easy,What safety procedure should a student follow when a thermometer is broken during a lab experiment? , tell the teacher immediately , stop the experiment immediately , sweep the glass into a biohazard container , use a paper towel to pick up the pieces,A
MCAS_1999_4_10,Test,easy,"An animal that has thick fur, webbed feet, and blubber would probably live in the ", Arctic Ocean. , Amazon Rain Forest. ," Intracoastal Waterway, Florida. "," Mojave Desert, California.",A
Mercury_416579,Test,easy,"A euglena has a flagellum and a paramecium has cilia. Both types of organelles help these organisms move through the water. However, a paramecium can also use its cilia to perform another task. What is this task? ", obtain food , defend the cell , attach to a surface , perform conjugation,A
MCAS_1998_8_19,Test,easy,A solar eclipse occurs when , the Moon blocks the Earth from the Sun. , the first four planets in the solar system are aligned. , Earth blocks the Moon from the Sun. , Earth's shadow falls on the Sun.,A
MCAS_2004_9_10,Test,easy,Which of the following is designed to transform an electromagnetic wave into a mechanical wave? , a portable radio , a television screen , a computer monitor , a mercury thermometer,A
Mercury_SC_400525,Test,easy,Photosynthesis and respiration are both parts of which cycle? , carbon cycle , nitrogen cycle , phosphorous cycle , rock cycle,A
Mercury_SC_LBS10616,Test,easy,"Earth is tilted as it travels around the Sun. The tilt changes the amount of energy each area gets from the Sun, which makes some months of the year warmer than others. What are the four main temperature changes in a year called? ", seasons , climate , weather , quarters,A
AIMS_2008_4_6,Test,easy,Meteorologists study weather. Which of the following should meteorologists know about? , types of fronts , types of fossils , types of circuits , types of adaptations,A
TAKS_2009_5_6,Test,easy,"A student wants to find out how many different kinds of birds are found in a park. In addition to a bird identification book, the student should use ___. ", binoculars , goggles , a microscope , a hand lens,A
Mercury_7239138,Test,easy,"The complex, three-dimensional structure of a protein is sensitive to heat because the structure is maintained by ", hydrogen bonds. , covalent bonds. , Brownian motion. , magnetic fields.,A
VASoL_2010_3_13,Test,easy,The teeth of a carnivore are MOSTLY - , pointed , rounded , wide , flat,A
Mercury_7026968,Test,easy,A student wants to estimate the number of dandelion plants growing in a field. He counts the number of plants in a 5 square meter section of the field. What other information should he obtain to make his estimate? , the total area of the field , average rainfall in the area , all the organisms living in the field , energy and nutrient requirements of dandelions,A
Mercury_7018340,Test,easy,"Gregor Mendel contributed to the study of biology by the careful, objective study of ", heredity. , bacteria. , pedigrees. , environment.,A
Mercury_7240923,Test,easy,Which statement describes the most likely effect of transformation on bacteria such as E. coli? , Transformed bacteria express a new protein product. , Transformed bacteria have multiple chromosomes. , Transformed bacteria reproduce more quickly. , Transformed bacteria become a new species.,A
Mercury_7080465,Test,easy,Which is a fact rather than an opinion about earthquakes? , Earthquakes occur along fault lines. , Earthquakes are worse than hurricanes. , Earthquakes are bad for all local businesses. , Earthquakes always cause major damage to homes.,A
ACTAAP_2014_7_4,Test,easy,Which statement best describes the development of a human embryo? , A single cell becomes many cells. , Each cell has a different function. , Many cells combine to form one cell. , All the cells have the same function.,A
Mercury_7228690,Test,easy,Scientists are able to correlate time and the amount of difference between homologous genes when studying the divergence of two species because scientists have reliable estimates for which value? , rate of genetic mutations , survival benefit of specific genes , pressure of selection on base pairs , number of bases in species' genomes,A
Mercury_SC_400298,Test,easy,"Students go on a field trip to observe salmon spawning in a river. For safety reasons, the students should not ", explore alone. , listen to instructions. , take notes. , bring water.,A
MCAS_2006_9_13-v1,Test,easy,Which of the following colors of visible light has the longest wavelength? , red , blue , green , orange,A
Mercury_SC_402084,Test,easy,Which is an example of a form of electrical energy? , lightning , windmill , radio waves , sound waves,A
Mercury_416375,Test,easy,Which of these events during a storm at sea can add oxygen from the atmosphere to ocean water? , high winds , lightning , pressure change , temperature change,A
MCAS_2004_5_32,Test,easy,Energy appears in many forms. What form of energy is lightning? , electrical energy , mechanical energy , magnetic energy , sound energy,A
Mercury_179200,Test,easy,"Often organisms seem similar in their outward appearances. For example, a porpoise and a shark seem closely related, but they are not. Such similarity is the result of ", convergent evolution. , adaptive radiation. , artificial selection. , genetic equilibrium.,A
Mercury_7090755,Test,easy,Which process converts organic nitrogen into an inorganic form that can be used by plants? , decomposition , sedimentation , absorption , radiation,A
WASL_2003_5_8,Test,easy,"At camp, Raj sees a lightning storm. He sees the lightning before he hears the thunder. What does this show? ", Light moves faster than sound , Light moves slower than sound , Light and sound move at the same speed,,A
Mercury_7106610,Test,easy,What advantage do the offspring of a dandelion have by reproducing asexually? , Reproduction occurs rapidly. , Reproductive competition is increased. , Mating compatibility improves. , Diversity increases between generations.,A
Mercury_7159425,Test,easy,"After a storm, a hospital may have to rely on backup generators to power some equipment. Which is the energy conversion provided by the generators? ", mechanical energy to electrical energy , thermal energy to mechanical energy , nuclear energy to mechanical energy , thermal energy to electrical energy,A
MCAS_2004_8_22,Test,easy,"The heath hen, an extinct small wild fowl, was a relative of the prairie chicken. Which of the following most likely caused extinction of the heath hen? ", overhunting , stable climate , plentiful food supply , abundant nesting sites,A
Mercury_7220343,Test,easy,A student wants to create a drawing of the water cycle. Which image can the student use to represent water cycling through the atmosphere? , a cloud , a stream , a frozen lake , a drop of dew,A
TIMSS_1995_8_K16,Test,easy,Which is made with the help of bacteria? , Yogurt , Cream , Soap , Cooking oil,A
Mercury_7085873,Test,easy,Which of the following best describes two atoms of oxygen that are chemically bonded to each other? , molecule , compound , solution , mixture,A
TIMSS_2003_4_pg10,Test,easy,What covers most of the Earth's surface? , Water , Bare rock , Farm land , Cities and towns,A
Mercury_407132,Test,easy,A student walks along a trail by a lake on a cool summer morning. Which statement is an observation the student could make? , Fog is rising from the lake. , The water is too cold for swimming. , The water is cold because it comes from melted snow. , The temperature of the air is rising because the Sun is out.,A
Mercury_7074988,Test,easy,Eating food that is undercooked can lead to a disease that affects the digestive system. Which body part is directly affected by the disease? , intestines , arteries , nerves , sinuses,A
Mercury_SC_401403,Test,easy,Animals and plants need oxygen to live. Oxygen is released in photosynthesis. Which cycle includes photosynthesis? , the carbon cycle , the nitrogen cycle , the water cycle , the rock cycle,A
Mercury_7090633,Test,easy,What causes the tectonic plates of Earth to continually move? , convection currents in the mantle , volcanic and seismic activity in the crust , strong winds and storms , rotation of the solid core,A
Mercury_7247853,Test,easy,How do muscles and bones work together to create body movement? , The muscles pull on the bones. , The muscles protect the bones. , Muscles grow at the same rate as bones. , Muscles send electrical impulses to bones.,A
Mercury_400363,Test,easy,Which physical characteristic of a puppy is most likely inherited from its parents? , coat color , desire to play fetch , body weight , ability to follow commands,A
