questionID,question,info
Mercury_417145,marine ecosystem independent sunlight?,But it grows so thick that it blocks sunlight for underwater plants and can disrupt the marine ecosystem. Shallow waters host the most complex and diverse marine ecosystems thanks to the availability of both nutrients and sunlight. Sunlight provides energy for the ecosystem. Energy enters an ecosystem as sunlight. Marine Ecosystems. marine ecosystems; Marine ecosystems? Marine Ecosystems - But it grows so thick that it blocks sunlight for underwater plants and can disrupt the marine ecosystem. Shallow waters host the most complex and d
Mercury_SC_400698,kind energy change occurs battery operating remote control toy?,"It's a small electronic battery-operated toy dog with a wired remote control. R-35 Robot is a remote controlled battery operated toy that is a true classic. Remote controlled battery op toy. It is battery operated by remote control. Details here Other exciting Stuff Battery operated toys, cycles, remote controll toys - all this and much more! Remote controlled battery op toy, maker unknown. The robot is remote controlled and battery operated. No remote control toys are to be operated in the hallways. When a battery-operated toy car is put in motion, chemical energy (stored in battery) changes to electrical energy (released from battery), which changes to kinetic energy (wheels turn) and sound energy (noise). It's a small electronic battery-operated toy dog with a wired remote control. No remote "
Mercury_7132038,would best evidence two substances made different types matter?,"What is the difference in these two types of substances? What matters now is not just good will, but clear evidence that we are making a difference. However, there is no evidence at this time that cancer risk would differ for the two types of phones. Most modern pantheists are monists in the sense that they believe there is only one type of substance - matter - rather than two different and distinct types, spirit and matter. The key is in the difference between the two substances, matter and spirit. It is necessary to make a distinction between two types of construction medium or &quot;stuffs,&quot; one called matter and the other substance. In the patent field the differences between the two traditions make themselves felt more clearly in matters of procedure than substance. What is the difference in these two types of substances? What matters now is not just good will, but clear evidence that we are making a difference. The key is in the difference between the two substances, matter and spi"
Mercury_7215810,"exploratory robot sent planet Mars. gravity Mars weaker gravity Earth. Compared mass weight robot Earth, robot Mars","IF MARS HAS 3/8 THE GRAVITY LEVEL OF EARTH, DOES THAT MEAN THAT THE PLANET MARS HAS 3/8 THE MASS OF THE PLANET EARTH? What is the force of gravity on Mars compared with Earth? Gravity Box: How does the Earth's gravity compare to gravity on the Moon and Mars? Gravity on Mars is 38% of Earth's. Gravity on Mars is 38% that on Earth, so the Lander would seem to weigh about 1/3 of its weight on Mars as compared to Earth. Gravity on mars is 38% of Earth gravity. The mass of Mars is about 10 percent that of Earth, and its gravity is about 38 percent as strong as our planet. The total mass of the planet is only one-tenth that of Earth, and that is why gravity on Mars is only 38% as strong. Again, the earth as compared with Mars is, essentially, a grosser planet; IF MARS HAS 3/8 THE GRAVITY LEVEL OF EARTH, DOES THAT MEAN THAT THE PLANET MARS HAS 3/8 THE MASS OF THE PLANET EARTH? What is the force of gravity on Mars compared with Earth? Gravity Box: How does the Earth's gravity compare to gravity on the Moon and Mars? Gravity on Mars is 38% of Earth's. The total mass of the planet is only one-tenth that of Earth, a"
Mercury_417136,"Estuaries called ""the nurseries sea"" many species lay eggs develop young estuaries. two features estuaries support role most?","Four species of sea turtles lay their eggs along the beaches of the wildlife refuge, whose estuaries are also nurseries for lobster and the prized sportfish called tarpon. Estuaries Discover why estuaries are called nurseries of the seas! Why are estuaries called the ""nurseries of the sea""? Why Estuaries Matter Nurseries: Many marine organisms, and most commercially valuable fish species, depend on estuaries at some point during their development. In fact, there seems to be a general pattern among many species where eggs are hatched at sea and the larvae make their way inland into the low-salinity nursery habitats of the estuaries. NURSERY : Many marine organisms, most commercially valuable fish species included, depend on estuaries at some point during their development. NURSERY: Many marine organisms, most commercially valuable fish species included, depend on estuaries at some point during their development. Four species of sea turtles lay their eggs along the beaches of the wildlife refuge, whose estuaries are also nurseries for lobster and the prized sportfish called tarpon. Estuaries Discover why estuaries are called nurseries of the seas! Why are estuaries called the ""nurseries of the sea""? Why Estuaries Matter Nurseries: Many marine organisms, and most commercially valuable fish species, "
Mercury_7234430,"Using nonrenewable resources energy produces waste products long-term, negative effects Earth's subsystems. energy source produces waste products effects longest amount time?","Applies primarily to the effects of use of nonrenewable resources, such as minerals or cultural resources, or to those factors, such as soil productivity that are renewable only over long periods of time. The amount of equipment and materials to be used, such as fuel for transportation and re-encapsulation, represent a minor long-term commitment of nonrenewable resources. The amount of equipment and materials to be used, such as steel and other metals necessary for modifications, represent a minor long-term commitment of nonrenewable resources. Russian settlement of Siberia, Alaska, and California as sources of fur, fish, timber, and gold) Identify and 
discuss examples of resources that have been highly valued in one period but less valued in another (e.g., the use of salt and spices for the preservation of food before the advent of refrigeration, the dismissal of petroleum as a nuisance product known as ground oil before the invention of the internal combustion engine) C. Evaluate policy decisions regarding the use of resources in different regions of the world, as exemplified by being able to Discuss how and why some countries use greater than average amounts of resources (e., German iron-ore imports, and petroleum consumption in the United States and Japan) Explain the geographic consequences of the development and use of various forms of energy (e., renewable, nonrenewable, and flow resources) Evaluate the short- and long-term economic prospects of countries that rely on exporting nonrenewable resources (e., the long-term impact on the economy of Nauru when its phosphate reserves are exhausted; A long-term effort to significantly increase the state's energy efficiency, as well as use of alternative energy sources, will be necessary to become less dependent on finite, nonrenewable energy sources, insulate the economy from unexpected energy price increases, and prevent further environmental degradation related to energy production and use. The savings to the Communities through the use of these new systems and practices would provide long-term savings in the amounts of otherwise wasted time, energy and underutilized resources in incorrect assessment, planning, implementation and continual review of the Community21C -On-line Model. The amount of equipment and materials to be used, such as steel and other metals for piping and enclosures necessary for modifications, represent a minor long-term commitment of nonrenewable resources. 7) Long-Term Environmental Damage-Greenhouse warming and management of nuclear wastes are two long-range costs of nonrenewable energy use that do not show up in ordinary economic accounts. I. Introduction Renewable energy sources are receiving increasing public support because of their potential for generating electricity with less pollution and lower long term costs to society than the nonrenewable energy sources currently used. Applies primarily to the effects of use of nonrenewable resources, such as minerals or cultural resources, or to those factors, such as soil productivity that are renewable only over long periods of time. Russian settlement of Siberia, Alaska, and California as sources of fur, fish, timber, and gold) Identify and 
discuss examples of resources"
Mercury_7041160,energy resource non-renewable?,Energy resources. energy resources; Energy resources; Energy Resources; To Energy Resources. ENERGY RESOURCES -- Energy resources. ENERGY RESOURCES --
Mercury_7126630,human skin plays important role variety organ systems. organ system least likely direct interaction skin?,"For example, for living systems the skin plays the role of the boundary. Estrogen also plays an important role in function of the bone, central nervous system, immune system, skin, and cardiovascular system. It is a bilayered skin construct that looks and feels like human skin and is probably the most complex organ system developed in the laboratory. Skin-nervous system interactions. Speech dialogue systems will also play an important role in human-computer interaction. Wnt-4 likely plays a role in directing the epithelial-mesenchymal interactions that occur during both skin repair and development. Our laboratory is interested in the mechanisms that give rise to eye, hair, and skin coloration, both as a tool for studying gene action and interaction and because many signaling pathways used by the pigmentary system play important 
roles in human development and disease. The skin is the body's largest organ and plays an important role in keeping the body healthy. In the skin, there is considerable evidence that apoptosis plays an important role in the pathogenesis of a wide variety of skin diseases. For example, for living systems the skin plays the role of the boundary. Speech dialogue systems will also play an important role in human-computer"
NYSEDREGENTS_2009_8_12,"Limestone sedimentary rock marble metamorphic rock. Even though limestone marble chemical makeup, classified different rocks","For example, limestone, a sedimentary rock, is converted to marble, a metamorphic rock. Marble is a common metamorphic rock, formed by compressing and heating limestone, a sedimentary rock. for example, the sedimentary rock limestone will become the metamorphic rock marble; In terms of geology, limestone is the sedimentary rock and marble is limestone metamorphized by heat and pressure. Sedimentary rocks (limestone) break apart much quicker than igneous rock (granite) or metamorphic rock (marble). The sedimentary rock limestone morphs into marble . Unsuitable rocks would be limestone, marble and sedimentary rock. Classify rock samples as igneous, sedimentary, or metamorphic rocks. Marble Marble is a metamorphic rock, composed of metamorphosized limestone. For example, limestone, a sedimentary rock, is converted to marble, a metamorphic rock. Unsuitable rocks would be limestone, mar"
CSZ30564,following found farthest center atom?,"Notice the syntax of the atom expression that follows the word center . I. DESCRIPTION OF THE FUNCTIONS OF THE PROGRAM Currently the following operations can be performed: Find the sphere of smallest radius still enclosing a set of atoms and translate the atoms to the 
center of this smallest enclosing sphere ( REF1 ). The translation operation is as follows: The geometric center or 
center of gravity of the main atoms in the atom pair list and the comparison atoms in the atom pair list are calculated. By centering the particles in the box, position the outlying atoms as far from the boundaries as possible. In SMILES, tetrahedral centers may be indicated by a simplified chiral specification ( @ or @@ ) written as an atomic property following the atomic symbol of the chiral atom. Most probably the atomic weight of x is far less, for the following reasons. For the first mode especially, there are far too many atoms moving to follow the dynamics. The key findings thus far are as follows. It has the form center , followed by an expression to define an atom or a group of atoms (in which case it uses the center of gravity of the group). atom or center. Notice the syntax of the atom expression that follows the word center . DESCRIPTION OF THE FUNCTIONS OF THE PROGRAM Currently the following oper"
Mercury_SC_401157,conducting wire wrapped plastic protects user plastic,"tie with wire or a strip of plastic wrap. Use Vexar &reg; , Tubex &reg; , plastic tree wrap, or woven-wire cylinders to protect young trees. Individual trees and shrubs can be protected by wrapping plastic tubing or 1/2-inch mesh wire around the trunk. In most cases, the shield consists of a foil layer wrapped around the interior wires, and then covered with a plastic protective jacket. Wire cages placed over tomato plants can be wrapped in clear plastic to protect the plants from wind and cool temperatures. Click Image for full size photo Wiring Harness with pre-terminated ends and in its blue plastic protective wrapping. They are also wrapped in a protective plastic sleeve. Protect collections with containers or plastic wrapping. Protect with plastic wrap and place in fridge. Plastic wrapped for protection during shipping. tie with wire or a strip of plastic wrap. Use Vexar &reg; , Tubex &reg; , plastic tree wrap, or woven-wire cylinders to prot"
Mercury_SC_400986,safer look Moon look Sun?,"The shadow will sweep overhead and only then you can safely look directly at the sun since the moon will shield the sun's bright surface. looks long at the sun and moon; Look at that sun and moon ! When the sun is COMPLETELY covered by the moon and only the corona is visible, it is safe to look at it without protection. In a true total solar eclipse, ALL of the sun is blocked by the moon, and at totality it IS safe to look directly at it. Safety issues During totality when the opaque moon obscures the entire diameter of the sun, direct looking is safe. We possess the technology to look safely as the moon passes in front of the sun and our day star is partially eclipsed. For we can not gaze into the light of the sun by day, but may safely look into the face of the moon at night! The shadow will sweep overhead and only then you can safely look directly at the sun since the moon will shield the sun's bright surface. In a true total solar eclipse, ALL of the sun is blocked by the moon, and at totality it IS safe"
Mercury_7234465,presence high temperatures fossil-fuel formation results higher percentage product?,"These emissions are formed as a result of burning fossil fuels at very high temperatures. If this process occurs over geological time (over 100,000 years) under high pressure and temperatures, the resulting process is oil or coal (fossil fuel) formation. Byproducts of fossil fuel combustion (primarily NO and NO2) resulting from the combination of oxygen and nitrogen at high temperatures. Current ammonium fertilizer production uses extremely high temperatures and pressure, a process that requires lots of fossil fuel. Moreover, in the presence of high poverty levels they are unable to substitute environmentally protecting energy-production methods in place of fossil fuels. High-temperature processes, such as fossil-fuel combustion and steel production, release contaminants to the atmosphere that may result in wet deposition being a major contributor to major-ion and trace-metal loadings in north-western Indiana and Lake Michigan. High temperature processes, such as fossil-fuel combustion and steel production, release contaminants to the atmosphere that may result in wet deposition being a major contributor to major ion and trace-metal loadings in north- western Indiana and Lake Michigan. High temperature processes, such as fossil-fuel combustion and steel production, release contaminants to the atmosphere that may result in wet deposition being a major contrib-utor to major ion and trace-metal loadings in northwestern Indiana and Lake Michigan. High-temperature processes, such as fossil-fuel combustion and steel production, release contaminants to the atmosphere that may result in wet deposition being a major contributor to major-ion and trace-metal loadings in northwestern Indiana and Lake Michigan. As a highly efficient insulation product used to control high temperatures, RCFs help minimize the use of scarce natural energy resources by reducing the consumption of fossil fuels. These emissions are formed as a result of burning fossil fuels at very high temperatures. Byproducts of fossil fuel"
Mercury_SC_401207,graph best present data collected yearly water usage United States?,"For each good and each country, we use only one datum, the first year of export to the United States. A geodetic datum derived from a network of information collected in the United States and Canada. United States Standard Datum; the United States Standard Datum; For each good and each country, we use only one datum, the first year of export to the United States. United States Standard Datum; the United States Standard Datum;"
Mercury_7168683,plant gets energy needs Sun. plant uses ten percent energy carry life functions. plant transfers approximately another ten percent energy consumers food chain. happens remaining energy?,"Like the plant, the animal uses most of the energy it consumes for functions such as growth and sustenance but can offer about 10 percent of the energy it derived from plants to the next consumer in the food chain. This has to do with the fact that at every step in the food chain only 10 percent of the available energy gets passed on (starting with the energy of the sun incident on the plants). They can convert about ten percent of the producer food into consumer life energy. Once used, energy is unavailable for reuse Food chain follows flow of energy in ecosystem Sun = Producer = primary consumer = secondary consumer = tertiary consumer = decomposer Producers trap energy in photosynthesis (plants) Herbivores eat plants, as do omnivores getting chemical energy and building blocks for other molecules Carnivores and omnivores eat the herbivores, getting energy from herbivore molecules Decomposers break down organic molecules in remains at all levels Food web is more accurate, because there are range of food sources and complex, interconnected chains Trophic level is each level in a food web First is primary producers Second trophic level is primary consumers, etc. Energy moves from one trophic level to next as long as it isn t used for biological work Pyramid of numbers shows number of organisms at each trophic level. Energy source for life is the sun, transferred by plants to us as food. Shows how each food chain begins with plants (producers) and the chain of energy transfers to animals(consumers). Food Chain A natural transfer of food energy from producers (green plants) to successive consumers (herbivores and carnivores); A basic approximation of the energy that is transferred through each step in a food chain is that only 10% of the energy consumed at one level is passed to the next. Organic plant life consumes energy from the sun. Food chain The transfer of food energy from producers through a series of consumers. Like the plant, the animal uses most of the energy it consumes for functions such as growth and sustenance but can offer about 10 percent of the energy it derived from plants to the next consumer in the food chain. Food Chain "
Mercury_SC_403010,items needed create simple circuit?,Create a material list of the items needed to build a Series Circuit. create and experiment with a simple electric circuit. Second Activity : Create a simple circuit. Simple modification to this circuit is all that is needed. General Assembly instructions - Creating your circuit is simple. or actually perform an experiment such as creating a simple electrical circuit. create simple circuits to run objects such as lights and buzzers. It is a very simple circuit that most Photovores are created around. The documentation did offer a simple circuit to create an offset. Create a material list of the items needed to build a Series Circuit. Second Activity : Create a simple circu
MEA_2010_8_7-v1,Giant redwood trees change energy one form another. energy changed trees?,"The Giant Redwood tree! It is a Giant Redwood tree, or Sequoia. The Giant Redwood tree! It is a Giant Redwood tree, or Sequoia."
Mercury_412527,"timber company dividing 10,000 hectare forest 5 sections. unit appropriate use showing area divided sections?","Divide the timber sale into sections; The Forest is divided into two sections. The divider will be placed in the front of the appropriate section (5% of the grade). Divide these sections into subsections as appropriate. Divided into age appropriate sections. Are the sections divided into appropriate subsections? It is divided into age appropriate sections. Then, divide the body into appropriate sections using subheadings. Divide the timber sale into sections; The Forest is divided into two sections. Then, divide the body into appro"
MDSA_2011_8_25,"animals need food survive. Immediately animal eats food, food","all animals must eat enough food to survive. The food chain shows how some animals eat other animals to survive. - Santa cannot eat earthly food of ""animals and alcohol"" and needs to eat ""pastries and ice cream made of clouds"" or something to survive. While being food for animals higher in the food chain, these animals may eat other animals or plants to survive. eating of animal food or pet food; All animals need food, water and space to survive. Animals need food, water, air and shelter to survive. all animals must eat enough food to survive. eating of animal food or pet food; All animals need food, water and space to survi"
